id,episode,aired,movie,year,missing,current_theme,slim,danny,proto,sum,wiki_url
11,11,2020-04-06,Casino,1995,theme,,5,4,3,12,https://70mmwiki.com/movies/11
10,10,2020-03-30,Arrival,2016,theme,,5,5,5,15,https://70mmwiki.com/movies/10
9,9,2020-03-23,Birth,2004,theme,,2,3,3,8,https://70mmwiki.com/movies/9
8,8,2020-03-16,All or Nothing,2002,theme,,5,5,2,12,https://70mmwiki.com/movies/8
7,7,2020-03-09,Portrait of a Lady on Fire,2019,theme,,5,5,4,14,https://70mmwiki.com/movies/7
6,6,2020-03-02,Rogue One: A Star Wars Story,2016,theme,,3,5,3,11,https://70mmwiki.com/movies/6
5,5,2020-02-24,The Silence of the Lambs,1991,theme,,4,4,4,12,https://70mmwiki.com/movies/5
4,4,2020-02-17,Horse Girl,2020,theme,,2.5,3,3,8.5,https://70mmwiki.com/movies/4
3,3,2020-02-10,Good Time,2017,theme,,3,4.5,3,10.5,https://70mmwiki.com/movies/3
2,2,2020-02-03,1917,2019,theme,,5,5,5,15,https://70mmwiki.com/movies/2
1,1,2020-01-24,The Abyss,1989,theme,,4,4.5,4,12.5,https://70mmwiki.com/movies/1
